"Country Name","Country Code","Indicator Name","Indicator Code","2014",
"Caribbean","XCB","Annual wage for skilled female workers (US$ Dollars)","w_F_skl","37657568.2140873",
"Caribbean","XCB","Annual wage for skilled male workers (US$ Dollars)","w_M_skl","65161029.1401664",
"Caribbean","XCB","Annual wage for unskilled female workers (US$ Dollars)","w_F_nsk","18314525.3576572",
"Caribbean","XCB","Annual wage for unskilled male workers (US$ Dollars)","w_M_nsk","36923123.0452772",
"Caribbean","XCB","Labor volume for skilled females (millions)","v_F_skl","1579555.99888571",
"Caribbean","XCB","Labor volume for skilled males (millions)","v_M_skl","3811215.44261854",
"Caribbean","XCB","Labor volume for unskilled females (millions)","v_F_nsk","1740420.58012655",
"Caribbean","XCB","Labor volume for unskilled male (millions)","v_M_nsk","3316841.9783692",
"Caribbean","XCB","Share of female skilled worker out of all workers in this sector, %","p_F_skl","4.8593257567422",
"Caribbean","XCB","Share of female unskilled worker out of all workers in this sector, %","p_F_nsk","13.8049262449577",
"Caribbean","XCB","Share of male skilled worker out of all workers in this sector, %","p_M_skl","14.1228707018069",
"Caribbean","XCB","Share of male unskilled worker out of all workers in this sector, %","p_M_nsk","32.2128772964932",
"Caribbean","XCB","Value-added from Capital in GTAP10P3COD","gtap10VACapital","53809.755389607",
"Caribbean","XCB","Value-added from labor in GTAP10P3COD (in USD 2014 million)","gtap10VALabor","43675.382938688",
"Caribbean","XCB","Wage Premia for Females (the ratio of skilled female workers' wage  to  unskilled female workers' wage)","wpremia_F","137.320197267684",
"Caribbean","XCB","Wage Premia for Males  (the ratio of skilled male workers' wage  to  unskilled male workers' wage)","wpremia_M","116.649826761682",
"Central Africa","XCF","Annual wage for skilled female workers (US$ Dollars)","w_F_skl","222887.80692172",
"Central Africa","XCF","Annual wage for skilled male workers (US$ Dollars)","w_M_skl","394952.282079918",
"Central Africa","XCF","Annual wage for unskilled female workers (US$ Dollars)","w_F_nsk","123816.667694417",
"Central Africa","XCF","Annual wage for unskilled male workers (US$ Dollars)","w_M_nsk","216494.034897707",
"Central Africa","XCF","Labor volume for skilled females (millions)","v_F_skl","1837802.01168264",
"Central Africa","XCF","Labor volume for skilled males (millions)","v_M_skl","3855350.78562474",
"Central Africa","XCF","Labor volume for unskilled females (millions)","v_F_nsk","7216197.3627795",
"Central Africa","XCF","Labor volume for unskilled male (millions)","v_M_nsk","8119156.83991313",
"Central Africa","XCF","Share of female skilled worker out of all workers in this sector, %","p_F_skl","3.5756283026375",
"Central Africa","XCF","Share of female unskilled worker out of all workers in this sector, %","p_F_nsk","14.4785895237844",
"Central Africa","XCF","Share of male skilled worker out of all workers in this sector, %","p_M_skl","8.89371807166283",
"Central Africa","XCF","Share of male unskilled worker out of all workers in this sector, %","p_M_nsk","38.0520641019152",
"Central Africa","XCF","Value-added from Capital in GTAP10P3COD","gtap10VACapital","82453.012413705",
"Central Africa","XCF","Value-added from labor in GTAP10P3COD (in USD 2014 million)","gtap10VALabor","57751.669193239",
"Central Africa","XCF","Wage Premia for Females (the ratio of skilled female workers' wage  to  unskilled female workers' wage)","wpremia_F","119.493864737536",
"Central Africa","XCF","Wage Premia for Males  (the ratio of skilled male workers' wage  to  unskilled male workers' wage)","wpremia_M","117.463087748246",
"Rest of Central America","XCA","Annual wage for skilled female workers (US$ Dollars)","w_F_skl","847925.558029382",
"Rest of Central America","XCA","Annual wage for skilled male workers (US$ Dollars)","w_M_skl","878338.506274742",
"Rest of Central America","XCA","Annual wage for unskilled female workers (US$ Dollars)","w_F_nsk","460797.875870141",
"Rest of Central America","XCA","Annual wage for unskilled male workers (US$ Dollars)","w_M_nsk","551933.742130205",
"Rest of Central America","XCA","Labor volume for skilled females (millions)","v_F_skl","25237.9749637292",
"Rest of Central America","XCA","Labor volume for skilled males (millions)","v_M_skl","33356.4729028756",
